Frequenza,Territorio,Indicatore,Localizzazione dell incidente,Intersezione,Natura dell incidente,Esito,Ruolo,Età,Sesso,Mese,TIME_PERIOD,Osservazione
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,55
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,45
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,42
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,23
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,34
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,24
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,28
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,25
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,23
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,13
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,15
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,16
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2022,21
Annuale,Italia,Morti e feriti,Totale,Incrocio,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,10
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,7
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,4
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,2
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,5
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,5
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,1
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,5
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,3
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,1
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,2
